DEPTH,NO 6507/7-A-14,NO 6507/7-A-28,NO 6507/7-A-38,NO 6507/7-A-49
320,87.6641,76.9804,117.82,36.85700573
320.75,90.0861,65.3526,117.82,36.67968524
321,96.2154,58.6679,110.32,36.89442755
321.75,108.0116,46.8811,110.32,35.94365541
322.5,103.4899,58.8648,115.96,44.68142224
322.75,101.4413,66.8015,115.96,48.10224291
323.5,92.419,71.5466,116.34,61.59052977
323.75,91.0496,69.0473,116.34,62.75434936
324.5,98.3094,65.3867,110.97,58.74113294
324.75,100.4968,65.2456,110.97,57.54231402
325.5,90.4529,68.7783,108.15,50.47060195
325.75,93.8538,70.7468,108.15,45.72664446
326.5,105.146,72.2087,108.15,36.03320643
326.75,102.8727,71.765,108.15,34.83015534
327.25,97.5206,69.5345,109.54,32.16861761
327.5,95.1981,67.4761,109.54,35.8076598
328.25,94.2865,59.3013,111.84,41.4643679
328.5,97.3998,56.7805,111.84,43.79326677
